t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
1.8109,joint,0.064137,0.000000,0.000000,0.000000,0.000000,0.000000,1.995888,0.128185,0.000000,1.995888,0.128185,0.000000
1.8204,joint,0.065015,0.000000,0.000000,0.000000,0.000000,0.000000,1.995775,0.129938,0.000000,1.995775,0.129938,0.000000
1.8316,joint,0.066060,0.000000,0.000000,0.000000,0.000000,0.000000,1.995638,0.132025,0.000000,1.995638,0.132025,0.000000
1.8418,joint,0.067018,0.000000,0.000000,0.000000,0.000000,0.000000,1.995510,0.133936,0.000000,1.995510,0.133936,0.000000
1.8505,joint,0.067838,0.000000,0.000000,0.000000,0.000000,0.000000,1.995400,0.135573,0.000000,1.995400,0.135573,0.000000
1.8625,joint,0.068981,0.000000,0.000000,0.000000,0.000000,0.000000,1.995244,0.137852,0.000000,1.995244,0.137852,0.000000
1.8749,joint,0.070168,0.000000,0.000000,0.000000,0.000000,0.000000,1.995078,0.140221,0.000000,1.995078,0.140221,0.000000
1.8825,joint,0.070910,0.000000,0.000000,0.000000,0.000000,0.000000,1.994974,0.141701,0.000000,1.994974,0.141701,0.000000
1.8910,joint,0.071741,0.000000,0.000000,0.000000,0.000000,0.000000,1.994855,0.143359,0.000000,1.994855,0.143359,0.000000
1.9008,joint,0.072693,0.000000,0.000000,0.000000,0.000000,0.000000,1.994718,0.145258,0.000000,1.994718,0.145258,0.000000
1.9103,joint,0.073632,0.000000,0.000000,0.000000,0.000000,0.000000,1.994581,0.147131,0.000000,1.994581,0.147131,0.000000
1.9203,joint,0.074635,0.000000,0.000000,0.000000,0.000000,0.000000,1.994432,0.149132,0.000000,1.994432,0.149132,0.000000
1.9307,joint,0.075678,0.000000,0.000000,0.000000,0.000000,0.000000,1.994276,0.151211,0.000000,1.994276,0.151211,0.000000
1.9409,joint,0.076704,0.000000,0.000000,0.000000,0.000000,0.000000,1.994119,0.153258,0.000000,1.994119,0.153258,0.000000
1.9505,joint,0.077682,0.000000,0.000000,0.000000,0.000000,0.000000,1.993969,0.155208,0.000000,1.993969,0.155208,0.000000
1.9603,joint,0.078682,0.000000,0.000000,0.000000,0.000000,0.000000,1.993812,0.157201,0.000000,1.993812,0.157201,0.000000
1.9711,joint,0.079790,0.000000,0.000000,0.000000,0.000000,0.000000,1.993637,0.159411,0.000000,1.993637,0.159411,0.000000
1.9805,joint,0.080767,0.000000,0.000000,0.000000,0.000000,0.000000,1.993480,0.161359,0.000000,1.993480,0.161359,0.000000
1.9904,joint,0.081805,0.000000,0.000000,0.000000,0.000000,0.000000,1.993312,0.163428,0.000000,1.993312,0.163428,0.000000
2.0003,joint,0.082848,0.000000,0.000000,0.000000,0.000000,0.000000,1.993140,0.165506,0.000000,1.993140,0.165506,0.000000
2.0103,joint,0.083907,0.000000,0.000000,0.000000,0.000000,0.000000,1.992964,0.167617,0.000000,1.992964,0.167617,0.000000
2.0207,joint,0.085006,0.000000,0.000000,0.000000,0.000000,0.000000,1.992778,0.169807,0.000000,1.992778,0.169807,0.000000
2.0312,joint,0.086139,0.000000,0.000000,0.000000,0.000000,0.000000,1.992585,0.172065,0.000000,1.992585,0.172065,0.000000
2.0408,joint,0.087175,0.000000,0.000000,0.000000,0.000000,0.000000,1.992405,0.174130,0.000000,1.992405,0.174130,0.000000
2.0506,joint,0.088239,0.000000,0.000000,0.000000,0.000000,0.000000,1.992219,0.176249,0.000000,1.992219,0.176249,0.000000
2.0604,joint,0.089307,0.000000,0.000000,0.000000,0.000000,0.000000,1.992030,0.178376,0.000000,1.992030,0.178376,0.000000
2.0712,joint,0.090504,0.000000,0.000000,0.000000,0.000000,0.000000,1.991815,0.180760,0.000000,1.991815,0.180760,0.000000
2.0804,joint,0.091521,0.000000,0.000000,0.000000,0.000000,0.000000,1.991630,0.182786,0.000000,1.991630,0.182786,0.000000
2.0906,joint,0.092658,0.000000,0.000000,0.000000,0.000000,0.000000,1.991421,0.185051,0.000000,1.991421,0.185051,0.000000
2.1005,joint,0.093764,0.000000,0.000000,0.000000,0.000000,0.000000,1.991215,0.187254,0.000000,1.991215,0.187254,0.000000
